addr,bcvxcrv_usd,badger_holdings_usd
0x00B591BC2b682a0B30dd72Bac9406BfA13e5d3cd,15417.05,4655.04
0xF41274AD0Ab41369ac87cC7CAd9CcfFC9303D777,15113.01,7.78
0xd87EcC6C74F486B044824a222326A96F696fCfA2,14877.58,20388.22
0x9CB7f282B29E5769e2E4C08698184f9649b6087F,14688.60,4132.60
0x7AA1feD31FF356dBA66f551c232b5770442b41Aa,14034.30,15104.99
0xB5c46131B4d8d13e4c0E476B9A2Ea5b43945891e,13999.98,322.21
0x8F27fa136Ff4Da1796368380019029d81d12D06D,13828.54,603.27
0x48409735c07b31db8eCc0127561DAA397c137497,13742.91,7.09
0x3A28AFB20EbB049541d553075a3ac54E18034aba,13607.96,28.60
0x1EF5B6C5642D3e1BC8686d2b37383856c10AA13d,13573.11,128.75
0x928bAa371740E8Ca4d5E49781e0EDBE14eedA2a9,13531.86,2958.56
0x0DA8cB62108aBf07c83152045b047Aa10F0B31CB,13299.36,1505.55
0x794783dcFCac8c1944727057A3208d8F8bB91506,13286.30,17575.44
0x0F2437fF38E032596F2226873038230dcb22C485,13244.62,7.29
0x073aBA73177668Ba1c6661A4CCddbF77dfC8809a,12959.40,9452.89
0x7aEF2D7671EFb00A7196eb4BBd8eE7a2ba0e5de2,12889.20,74486.35
0x9141D5284c701614a48B42Bf4848eCC093f118f1,12874.93,22.36
0x0c4B65bEAdb705b927Ab68a1B00055f74579F997,12863.78,21.90
0x76b20A25373250d1229070d8876C45a675e61D89,12465.83,1797.02
0x152b8c153E4F18bFE1CB3F2eAa563813c758e279,12340.51,14200.99
0xce1F76Ea807d282861eF802d06355C9a19bC82F5,11924.89,382.74
0xE52E028f0D8F2E7A9d78E48199234b1231774E6a,11850.48,2938.20
0x8107b00171a02f83D7a17f62941841C29c3ae60F,11847.77,281254.55
0x3A2D016124DF975850b84A6A970ECd5725bF793D,11637.35,1335.53
0xf3D9B8F6af674e82943b4685728B00D13a62FC9e,10945.36,190.66
0xb84848Ce4a46a44f06864B5deCc2fe07b842CF30,10710.98,2432.52
0x5d8Cb0742186ff7fb55932095567e8a10D95dfb5,10416.89,5.01
0xB97F255b37eEf7D47DBE1deBBECD1f2eCFC37Abe,10373.00,79471.89
0x99ED04C212dD3929E9063bd78B26Ef41858CB62C,10224.71,315.42
0x26fCbD3AFEbbE28D0A8684F790C48368D21665b5,10160.80,588053.03
0xE26EDCA05417A65819295c49fC67272Ab247D791,10065.73,25942.79
0xee1F07F88934C2811E3DcAbdf438d975C3d62cd3,9934.54,9552.54
0x3Ad1029Eda5130f499D3C80b4fE8004Cd06cb5ad,9757.21,7.32
0x1Ec2C4e7Fff656f76c5A4992bd5efA7e7fF1A460,9680.84,80858.07
0x84a6a7c0674A3AA03e09c026600cb46181821f07,9587.26,113026.14
0x950A1d93c9d51409A6d537C49Ad34CF42e01D31A,9358.07,104784.44
0x73913CC0481a59706d1F6183a8A66EfD930eE2Da,9313.85,90.96
0x1e121993b4A8bC79D18A4C409dB84c100FFf25F5,8993.36,7180.65
0xa6FB1a1fFF573466295ed477219CA1419bC9A400,8902.73,212.10
0x8061199A31983A077E691C08B2263a4CF5c24093,8730.16,11948.48
0xDC5Bb4F6126A5eD7D99AF7E56387db717c1042BD,8645.41,36691.11
0x98691Ce757cab86B72f19CbA17adafdc5ba6DB67,8559.90,4.32
