token_address,receiver,amount
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x33bb1249bef09418d96e1545deda06e9b2d0449b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x62ace6e511476adcc8635b92e457f604bd22ad32,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5b9feaaac75556cf02bb6c40acfbda221ad97bdb,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xf3e5a871c04a6aa5e2085ef65cf6c24145b6b7a1,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xf8d5a4f896a56a6124934f3762e3e737cd7974bc,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe649edcb64ea6512a95b150da18bfd20c84bc549,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xd5431fecbb14f20f8ee68360b586d84d589f9f77,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x062cf13ad26b285a8edecceda6b6070835929cde,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x056c957c5875c3badc4a73526806a644a35ce50d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xec4fcd1aca723f8456999c5f5d7479dbe9528c11,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb396347aaedb1ed1cc941c93a6b07538178f89f2,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xd09f1c3f422a741726f9d14dd9cc8d93c81d8bf0,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x24875ae5824e0a579fa9635bf598536f8d3d94ef,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4a4359fdafb583c1ddc90eb4c2e35e4891cdf051,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x33b0086c7928f27fc5908b0138d6657149f9c209,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xffdabb051fe88529e7554c57ffd444abbf72259e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc388750a661cc0b99784bab2c55e1f38ff91643b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x7a7346918292ea438fd45e07a38b234987e22fe5,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc56e357599de4418c3a33ad611130d2b2b36b19a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x6422e2ad6996f7006d125ca960a06c13c0720267,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x6ee4e10d6a1e4e4d57b7a02515fe565bfe089cdc,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1e3567db9024c6af8d84e213c374326a9270b610,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x2df0ac275f3e871830aed981d90b3a9c36d9386c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x262000e1ccc8ab7456d7fddeec3f6c280f157008,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x2074da30f2740fb878ca0a2e83d6de1a938ebffa,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe3c8adda6a3c44c1be6cabe46d747302ef0511e2,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x474a6633011d8cc39bf736874eb0abdff12185ba,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x287de0c0cf2e515b55c6e77fa1279be8693f79fd,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0b0355b311af02bcf628ccb4cf0cb192088e5c32,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb9e2b60a9a8bb2442d397f313932a7de8cb475ad,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4e2a2433cc6afad0d1c6b38d452b42e7d2382d3f,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x8b34f5931fd52f70661174486d66a973d50a2d83,10
