token_address,receiver,amount
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x00c67d9d6d3d13b42a87424e145826c467cccd84,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x01a0f8f364c2fec07cfcdebd2980da3f950d0410,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0272ec6b528511f6d6d10f034df8eab8ec2e6fec,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x02c9ce7204250085bc0e5416c7dbcbc1b255cf59,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x03387d5015f88aea995e790f18ef7ff9dfa0943c,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x04e73d277bc05ab0fea3d0f46e6d930f3557d76c,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x073aba73177668ba1c6661a4ccddbf77dfc8809a,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x09fa38eba245bb68354b8950fa2fe71f02863393,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0a0be1f6f9cbf28b2b2380486fa9c8e532f8783b,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0b0e1670e2a5cfb56898760403c912402c9e597a,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0be722795469468e04ce572eb77eb5882c94d6f5,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0c1e99991dd2f7d374bff13f9f52284ce6cfdae5,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0cbe265011306fd86438c7d23d0dfb1721c20763,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0ce638e196f5141b9aa2fedc07ea158d94b458f9,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0e41c9b548cf0545377aeeb693a6006172f1af81,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0e61dae710688c22d8f6d0c3fdd1735d27ddff8f,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0fb773f852d58b0af2723e4efc29500c35e5e710,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x10840431b90f516548e439caeeea74d7266a93fc,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x11d0b9058104247be40744b1e5a708fc0ae8f7cc,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x138dd537d56f2f2761a6fc0a2a0ace67d55480fe,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1395de9daec52ad405e945603ea0a9346d00d01c,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x13a4f78027605fa9c7f15296fdbc97240e8c7019,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x14a0a9e3cbf0ff65afba891a4ba8bbf73df07987,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x14e27302100a769b3821333ea9276d77bb7f8832,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x14e6b828adb52153e5bf7c740a1a7312ef4b8711,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x152b8c153e4f18bfe1cb3f2eaa563813c758e279,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x15579f74c1b93b573c0a4d865011ec68f909fd02,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x15bc539b99f7019fe0d025ce26fda395b17b5f74,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x16d1663a00d4d1a216e0baa84b0abc69ba35c156,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1783266782e225fdaa90734eca3132e9875f39cb,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x18b8b2d255d7b2331a2bb3b040d701cd113c5ca3,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x18d1eb6f4a74ab1d4704ec1688d87047efdb83d5,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1928c92c7b9d9a9699776f9fb57ad6c84b44be33,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1991059f78026d50739100d5eeda2723f8d9dd52,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1a87fe212028dd92fe97bba8e2bafda2f146bea7,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1a97147c1f287230565cdf021fd2831de2c21be6,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1c7a9275f2bd5a260a9c31069f77d53473b8ae2e,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1cabc2a3e7fd58b16502bf7c60c5a5e41b9db638,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1d12d09793daf5eb834c8d29eb6a039c32b73813,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1d5e65a087ebc3d03a294412e46ce5d6882969f4,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1d8d739912aae17819618e6e33580284c16785a9,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1f7112c065f02c857eca7a8c27e109b1e81dd294,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1f723a433984cd443e2d07dd2da157e24065bfc4,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1fa4823613fb2424cbdab225fc1eefe3bd293c84,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x216a5ba8bd44d9db2f209fc55a737d7e8239db35,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x22510fe99f63ae03ba792c21a29ec10fd87cae08,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x2456b8d36dcc4f948d1101c9b6be6cdb84d7f052,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x24d734a75166e66000c8d7f12a173e41358e3cc1,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x25150ae86241d8128edda5039c0fff7762d62f90,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x258d35e155485b0dae6b36a74b7910f3ecdcb16d,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x25d56aca979398aca283611258eaf84de39c0d9d,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x2649bb086552825ced34545388dbc40f6c51fea0,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x26fcbd3afebbe28d0a8684f790c48368d21665b5,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x270d2924ca13f54632601647fb225db8eb61fb49,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x27cd9982005f247bde88acd75ecdbe0db67c2260,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x27d1cd8c9b3f3de40fca5317eb9f6da61b2f69dd,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x27fb558fd54dd20825b0c05c877f716319f781a0,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x29687e2a2b38bbc1f4f9069f1f24f13a3c83d27d,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x298dfdf25e3f63570628a18b13416cc2c94c3498,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x29c3bf1254e499bb29fa7560d3e9522a46edf5b1,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x29f7114e0261ae413ecc30ae3849fdf929e45f35,5
