token_address,receiver,amount
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb4ec60de5ee53988e98f596655ef0b7110bb8d95,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3d0576fadc008ede206edf3506d3d7a94351a5a6,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xaa13905714dc09e1c51926869ddf2f3f2f1f3133,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0c0c3df3ee78c0e503ae28e14d69a697653b554b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3bdb6119802ef01eab4e2a74bedb5e0227bed49a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa1d509af0ab2e2c2fbff2ac5bb1fad50ba16c65d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x29f7114e0261ae413ecc30ae3849fdf929e45f35,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x887b86b6b6957f7bbea88b8cefd392f39236a88c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x6dce215f5d0209bee096fb5147c423344d10553b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc57c51d4978f96a40937e19db35326dca0f5fdd0,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x7b2366996a64effe1af089fa64e9cf4361fddc6e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x48563b586c509faea52e17cc42f83f14b1d3759b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x564b31fe75510a1adb311aece4faa63346ed142c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb0812e0006470fe99f71165fc7c1a2312f7b90f2,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xfa5756494fea34c83808ccb6626f6b7e66d46c4c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa3dfb42724734d74d1b66f6f12a4afa5d7d38df2,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x073aba73177668ba1c6661a4ccddbf77dfc8809a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0d83da5028c2d5e9dd9661d913799396bdf39699,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x40581470c9b8724af5ed35b72201f5a434f82340,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe8b2d43eb45074b1dfac494641e15791b32d27a6,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x65544898b40e9ad57e15721ea3003b5e40547ce8,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xee4c633368f1fdbc0be5845c32dd592c40368bb0,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x131c71e79b62c38df5123bd89559577e3abbdce7,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x92a7f0dfb36af2781f4c56ee7f7458794343cc8b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x577be3ed9a71e1c355f519bbdf5f09ba2018b1cc,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x7759d0dbeab2270bea6f35679344d4d67b10cce9,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb9b4f5921dddd83313c5b70fe582f197c0d900a8,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x6fb737d1ebb73cda6cfa36fd16d9273065d1b084,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x18a428ce0c31584a21cf8cefdb8849d8013e1994,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x270d2924ca13f54632601647fb225db8eb61fb49,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4899b9244c20b9718bd99e8aa12f7ca49eac361b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x55836e71979b41a28ff1e85b9b2e6f7907569c9c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb67620e8c9e19592b616942f895153e2dcf9ccb6,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x246f1158892117e911d2a5247f37e63f84072150,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1e068f7a77434ec4ff313b087a55ab3b50174ed1,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe71f09556786d2183d4c64fb317a2ea2c5cf80e8,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xbda23d50dc2a7f5730fff8175c8cd4667af815dd,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0c1e99991dd2f7d374bff13f9f52284ce6cfdae5,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xad1819cc1a6dbcfe293b49e1930ec0f8c872a2cd,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xde2f2aed377e8e9a015a2a91954545aac38fd83a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x22510fe99f63ae03ba792c21a29ec10fd87cae08,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb970c89c27380363626d44f84e2844617e9ff969,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x36e992c989b242a098c02735e66170ea19447861,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xd76a9cba16b91f4a5927bd496f20de108ff445a7,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc9e8212b505f7463b3356855d452cb0fa6e2b481,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x538e597a31f044cd0d88afa914f2602d08cdb7f0,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x886f6ab61294e7650de300e0d026b1408f1e160f,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc78163f8c600ea7568c146ec29d5232a341584f3,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb366e2348ca1e6d46d9124e719be8a7cf4b1dc86,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x27ebbf89db8ad8b430de2fc71e4053f1fdf00703,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xd8a7b7b40c115066b745675812e90f4cf25da5ed,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5974ab4cadc4f429c1a477b0b52a2209afa0179e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x13ca88c90c49024ac11098965b9ff4d4a1550768,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x2d0e9e8197c541704ead0aeb35ef5f03dc35bc6d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa901368aec255b1e6df31edf8aa735ff16bb12a8,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3a2d016124df975850b84a6a970ecd5725bf793d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb84848ce4a46a44f06864b5decc2fe07b842cf30,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x789a9fe9d50ecf6f16022b93ba90b65a4a04bf5d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xaebcc707edac413af8782c5bb1a29a6b2d904719,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xd65370c5565f2bea121f3c22823233f98a4be793,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xaabd5fbcb8ad62d4fbbb02a2e9769a9f2ee7e883,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa362a6d78d07f3ff28446d1fba483f78d74c0e3b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4d5bf3886935d0966479c651a3448ffaaf32252b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x81c5e53ac8e5af8966b332742fcd2e06d101bb70,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x84a6a7c0674a3aa03e09c026600cb46181821f07,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xdb611d682cb1ad72fcbacd944a8a6e2606a6d158,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x10840431b90f516548e439caeeea74d7266a93fc,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xcf3ca65ded58e0ef7f22726b5b705d9e30d2bc0e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4ae958b4de0e6f21d51e73625fb9d5e0c3b0985f,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa9c1c504652ab74e5fd22d6f36df53a2be4a4e0b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x00c67d9d6d3d13b42a87424e145826c467cccd84,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x18bafc34abc16187b5887742c3dac59e5b51d509,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4fc5a19e45de02592a4d0241869f969f68255e9c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x380886e656ce40bd145a9fb85ac7e3dc51d5ee8b,10
