token_address,receiver,amount
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x6b9dfc960299166df15ab8a85f054c69e2be2353,63.940601501040625
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x53461e4fddcc1385f1256ae24ce3505be664f249,23.72812454881666
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,19.355130723023866
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xcf0afa96743819d52515bff99635a7978f2a856f,14.62038900280703
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x7bfee91193d9df2ac0bfe90191d40f23c773c060,10.65695838651601
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1f0609168f8c955e914d89a19ffbb2859aee6d90,5.994389169784667
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x720b304e1f7f2ac7d1e60b03289b13a8a764f315,4.950553139747583
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x07e9d06db58a77407db95d93fbe1275a46f97463,3.886986117470194
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe26edca05417a65819295c49fc67272ab247d791,3.2776074198658764
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0c6ac3fcea667fd6c62483ce1dbbce6f6ce0fb1f,3.024322095440454
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x647c920102f251da87fb4d21aea5a322358f2721,2.891319866397684
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe107a20ce3836329a3c310e9a2da812cfb177f72,2.8152626588290044
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc78163f8c600ea7568c146ec29d5232a341584f3,2.2543101601772917
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x26fcbd3afebbe28d0a8684f790c48368d21665b5,2.0751515219657635
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0e61dae710688c22d8f6d0c3fdd1735d27ddff8f,1.6614846873311828
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1447b49b636cb1fa24281efcd66aaac44188e3bc,1.5530304273089612
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x24d734a75166e66000c8d7f12a173e41358e3cc1,1.4411228446226645
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe024d0f8b612fa88d5678e279ea236403868f1f6,1.3428303435720137
