token_address,receiver,amount
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x7b2366996a64effe1af089fa64e9cf4361fddc6e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x564b1a055d9caaaff7435dce6b5f6e522b27de7d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x95eec544a7cf2e6a65a71039d58823f4564a6319,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa669070d106e96cc2390523e9745b425a1b3a0e0,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x7499c6c5d844fca62b7204ede460a66f649e6885,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x9880224de223bb3df79af7753dccc66f89473122,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc1e8cb20317ae543804ab1d58e954a9c0b44b7f0,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4e24ac2a716646772def1c979429ed1ba6e4e657,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x9f615eb8a55d8c23b2b5d38b16bd1c1b0fbc331a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3181731945d495f4ed41c423945650ee21d5d68e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x256658bf0573f32ddde32c51b0368c2c9a214b1f,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x13aefb413587a35fedff8c9cfe5fa86cc3d8ea16,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1f7112c065f02c857eca7a8c27e109b1e81dd294,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xfdbbfb0fe2986672af97eca0e797d76a0bbf35c9,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa574100b2e3fa487291a694143d9c02928bb59aa,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xf740094c0974cafc66a99d397cebb0012551ad33,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x270d2924ca13f54632601647fb225db8eb61fb49,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xf7f7d74ce9fc6626d629c6e90d9aaa359417dcb5,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xde2f2aed377e8e9a015a2a91954545aac38fd83a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xf2b8c142edcf2f3cc22665cce863a7c9a3e9f156,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x6d0bbe84eba47434a0004fc65797b87ef1c913b7,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3ee8b7ddcc2d20f99a4bf04efc2cbcc66424e961,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xd99b7858eabe8b48aee66742245f48f9533105bc,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x13a4f78027605fa9c7f15296fdbc97240e8c7019,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x18b8b2d255d7b2331a2bb3b040d701cd113c5ca3,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5595f9e14a9a3b957d08e904939aa351e265c157,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x55836e71979b41a28ff1e85b9b2e6f7907569c9c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc84350bce9259d11f7518564520c9d3d6dde3871,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb5cc3308c8e0f12fccca72e0fa3c8c20518c11e7,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x596a7f60a430d3ea672ebd0268cd414a6607b463,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x88adff961770db02de09e69781f512160e1e4f51,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x416c482c9c6fd09a1898b38120c4c33157f1be3c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x808a023b72260170c95d831f589a1ae0dca1e43e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe26edca05417a65819295c49fc67272ab247d791,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4393b9c542bf79e5235180d6da1915c0f9bc02c3,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0b38bc8d3185718ce5848e0bbd258d419be16bad,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x6d159df1154651d664a9ff484220339dba85e0d8,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa1b16f9148b86ae38e745080facf518444efbf54,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x16d1663a00d4d1a216e0baa84b0abc69ba35c156,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x01a0f8f364c2fec07cfcdebd2980da3f950d0410,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x950a1d93c9d51409a6d537c49ad34cf42e01d31a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xa856e0ca37d3b64a137ad5d3e20c31843fa9fb36,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xbe4a682a19d63c032441d1c234f9c71ae08ab26b,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x26eadeee59912a86be8ff5d5f03e2e6f5d6aee65,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4523b791292da89a9194b61ba4cd9d98f2af68e0,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xfccd515d395fcc855fa56ae273d7837a2db57b7c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x71535aae1b6c0c51db317b54d5eee72d1ab843c1,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0932ae988609c990890cf4fa74ee3fa9ab092944,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x405090049264c68679dd8d77a400c118d16c79a6,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x11d0b9058104247be40744b1e5a708fc0ae8f7cc,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb86662739e1acc01d9ca9c3c3dcfb34ae3f0332e,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x298dfdf25e3f63570628a18b13416cc2c94c3498,10
